loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
instantiating app ryu.topology.switches of Switches
(28) wsgi starting up on http://0.0.0.0:5535
packet in 5 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 4 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 4 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 5 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 3 32:70:e7:f4:23:50 33:33:00:00:00:02 1
packet in 3 fa:22:b1:06:f1:8f 33:33:00:00:00:02 2
packet in 4 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 4 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 5 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 5 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 5 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 4 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 3 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 3 b6:b1:1f:64:17:e6 33:33:00:00:00:02 3
packet in 5 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 2
packet in 5 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 1
packet in 4 12:57:fa:e2:36:cb 33:33:00:00:00:02 3
packet in 5 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 3 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 4 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 4 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 4 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 5 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 3 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 3 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 3 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 4 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 5 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 3 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 4 36:69:88:03:73:ee 33:33:00:00:00:02 2
packet in 4 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 4 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 5 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 5 36:69:88:03:73:ee 33:33:00:00:00:02 3
packet in 3 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 3 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 3 36:69:88:03:73:ee 33:33:00:00:00:02 3
packet in 3 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 5 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 4 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 4 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 3 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 5 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 4 62:a9:8f:34:e0:7d 33:33:00:00:00:02 1
packet in 5 4e:0d:46:87:17:bf 33:33:00:00:00:02 3
packet in 4 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 5 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 5 62:a9:8f:34:e0:7d 33:33:00:00:00:02 3
packet in 3 62:a9:8f:34:e0:7d 33:33:00:00:00:02 3
packet in 4 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 3 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 5 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 5 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 4 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 3 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 3 fa:22:b1:06:f1:8f 33:33:00:00:00:02 2
packet in 3 32:70:e7:f4:23:50 33:33:00:00:00:02 1
packet in 4 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 4 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 5 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 5 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 4 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 3 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 5 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 4 12:57:fa:e2:36:cb 33:33:00:00:00:02 3
packet in 5 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 2
packet in 5 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 1
packet in 5 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 3 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 3 b6:b1:1f:64:17:e6 33:33:00:00:00:02 3
packet in 3 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 4 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 4 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 3 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 3 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 5 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 4 02:53:7a:2f:d0:b9 33:33:00:00:00:02 3
packet in 3 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 4 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 5 f6:97:e5:6e:18:e2 33:33:00:00:00:02 3
packet in 4 36:69:88:03:73:ee 33:33:00:00:00:02 2
packet in 4 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 5 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 3 4a:14:12:ad:99:74 33:33:00:00:00:02 3
packet in 5 36:69:88:03:73:ee 33:33:00:00:00:02 3
packet in 3 36:69:88:03:73:ee 33:33:00:00:00:02 3
packet in 4 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 4 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 5 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 3 46:2e:30:18:f4:69 33:33:00:00:00:02 3
packet in 3 72:7b:59:3f:48:68 33:33:00:00:00:02 3
packet in 4 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 5 92:2c:70:c2:40:13 33:33:00:00:00:02 3
packet in 4 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 5 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 3 52:1a:bc:ee:75:3e 33:33:00:00:00:02 3
packet in 4 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 3 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 5 42:25:52:99:d8:35 33:33:00:00:00:02 3
packet in 4 62:a9:8f:34:e0:7d 33:33:00:00:00:02 1
packet in 5 62:a9:8f:34:e0:7d 33:33:00:00:00:02 3
packet in 3 62:a9:8f:34:e0:7d 33:33:00:00:00:02 3
packet in 4 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 5 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 3 a2:eb:7f:0a:15:33 33:33:00:00:00:02 3
packet in 3 fa:22:b1:06:f1:8f 33:33:00:00:00:02 2
packet in 5 4e:0d:46:87:17:bf 33:33:00:00:00:02 3
packet in 4 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 5 fa:22:b1:06:f1:8f 33:33:00:00:00:02 3
packet in 3 32:70:e7:f4:23:50 33:33:00:00:00:02 1
packet in 4 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 5 32:70:e7:f4:23:50 33:33:00:00:00:02 3
packet in 4 12:57:fa:e2:36:cb 33:33:00:00:00:02 3
packet in 3 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 4 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 5 86:2f:6f:2e:65:3f 33:33:00:00:00:02 3
packet in 5 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 1
packet in 4 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 3 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 3 b6:b1:1f:64:17:e6 33:33:00:00:00:02 3
packet in 3 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 5 5a:ed:fb:61:a3:d4 33:33:00:00:00:02 3
packet in 5 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 2
packet in 3 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 4 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
